Level,Group,Task,Model,Metric,Unit,AvailableFlightCount,MissingFlightCount,MeanOfFlightMetric,StdOfFlightMetric,MinFlightMetric,MaxFlightMetric,P50FlightMetric,P90FlightMetric,P95FlightMetric,Status
flight,const4-trial3-traj1,tdoa,cnn2,mae_m,m,1,0,0.2325,0,0.2325,0.2325,0.2325,0.2325,0.2325,available
flight,const4-trial3-traj1,position,raw,rmse_m,m,1,0,0.6365,0,0.6365,0.6365,0.6365,0.6365,0.6365,available
flight,const4-trial3-traj1,position,fnn,rmse_m,m,1,0,0.4702,0,0.4702,0.4702,0.4702,0.4702,0.4702,available
flight,const4-trial3-traj1,position,cnn1,rmse_m,m,1,0,0.4137,0,0.4137,0.4137,0.4137,0.4137,0.4137,available
flight,const4-trial3-traj1,position,cnn2,rmse_m,m,1,0,0.4614,0,0.4614,0.4614,0.4614,0.4614,0.4614,available
flight,const4-trial3-traj1,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj1,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj1,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj1,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj2,tdoa,raw,rmse_m,m,1,0,0.482,0,0.482,0.482,0.482,0.482,0.482,available
flight,const4-trial3-traj2,tdoa,fnn,rmse_m,m,1,0,0.3509,0,0.3509,0.3509,0.3509,0.3509,0.3509,available
flight,const4-trial3-traj2,tdoa,cnn1,rmse_m,m,1,0,0.3492,0,0.3492,0.3492,0.3492,0.3492,0.3492,available
flight,const4-trial3-traj2,tdoa,cnn2,rmse_m,m,1,0,0.3585,0,0.3585,0.3585,0.3585,0.3585,0.3585,available
flight,const4-trial3-traj2,tdoa,raw,mae_m,m,1,0,0.2691,0,0.2691,0.2691,0.2691,0.2691,0.2691,available
flight,const4-trial3-traj2,tdoa,fnn,mae_m,m,1,0,0.2041,0,0.2041,0.2041,0.2041,0.2041,0.2041,available
flight,const4-trial3-traj2,tdoa,cnn1,mae_m,m,1,0,0.188,0,0.188,0.188,0.188,0.188,0.188,available
flight,const4-trial3-traj2,tdoa,cnn2,mae_m,m,1,0,0.2024,0,0.2024,0.2024,0.2024,0.2024,0.2024,available
flight,const4-trial3-traj2,position,raw,rmse_m,m,1,0,0.6325,0,0.6325,0.6325,0.6325,0.6325,0.6325,available
flight,const4-trial3-traj2,position,fnn,rmse_m,m,1,0,0.4545,0,0.4545,0.4545,0.4545,0.4545,0.4545,available
flight,const4-trial3-traj2,position,cnn1,rmse_m,m,1,0,0.4017,0,0.4017,0.4017,0.4017,0.4017,0.4017,available
flight,const4-trial3-traj2,position,cnn2,rmse_m,m,1,0,0.4555,0,0.4555,0.4555,0.4555,0.4555,0.4555,available
flight,const4-trial3-traj2,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj2,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj2,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj2,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj3,tdoa,raw,rmse_m,m,1,0,0.4541,0,0.4541,0.4541,0.4541,0.4541,0.4541,available
flight,const4-trial3-traj3,tdoa,fnn,rmse_m,m,1,0,0.352,0,0.352,0.352,0.352,0.352,0.352,available
flight,const4-trial3-traj3,tdoa,cnn1,rmse_m,m,1,0,0.3564,0,0.3564,0.3564,0.3564,0.3564,0.3564,available
flight,const4-trial3-traj3,tdoa,cnn2,rmse_m,m,1,0,0.3632,0,0.3632,0.3632,0.3632,0.3632,0.3632,available
flight,const4-trial3-traj3,tdoa,raw,mae_m,m,1,0,0.2536,0,0.2536,0.2536,0.2536,0.2536,0.2536,available
flight,const4-trial3-traj3,tdoa,fnn,mae_m,m,1,0,0.195,0,0.195,0.195,0.195,0.195,0.195,available
flight,const4-trial3-traj3,tdoa,cnn1,mae_m,m,1,0,0.1861,0,0.1861,0.1861,0.1861,0.1861,0.1861,available
flight,const4-trial3-traj3,tdoa,cnn2,mae_m,m,1,0,0.1953,0,0.1953,0.1953,0.1953,0.1953,0.1953,available
flight,const4-trial3-traj3,position,raw,rmse_m,m,1,0,0.6638,0,0.6638,0.6638,0.6638,0.6638,0.6638,available
flight,const4-trial3-traj3,position,fnn,rmse_m,m,1,0,0.4515,0,0.4515,0.4515,0.4515,0.4515,0.4515,available
flight,const4-trial3-traj3,position,cnn1,rmse_m,m,1,0,0.4073,0,0.4073,0.4073,0.4073,0.4073,0.4073,available
flight,const4-trial3-traj3,position,cnn2,rmse_m,m,1,0,0.4553,0,0.4553,0.4553,0.4553,0.4553,0.4553,available
flight,const4-trial3-traj3,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj3,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj3,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj3,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj1,tdoa,raw,rmse_m,m,1,0,0.489,0,0.489,0.489,0.489,0.489,0.489,available
flight,const4-trial4-traj1,tdoa,fnn,rmse_m,m,1,0,0.3481,0,0.3481,0.3481,0.3481,0.3481,0.3481,available
flight,const4-trial4-traj1,tdoa,cnn1,rmse_m,m,1,0,0.3414,0,0.3414,0.3414,0.3414,0.3414,0.3414,available
flight,const4-trial4-traj1,tdoa,cnn2,rmse_m,m,1,0,0.354,0,0.354,0.354,0.354,0.354,0.354,available
flight,const4-trial4-traj1,tdoa,raw,mae_m,m,1,0,0.3165,0,0.3165,0.3165,0.3165,0.3165,0.3165,available
flight,const4-trial4-traj1,tdoa,fnn,mae_m,m,1,0,0.2184,0,0.2184,0.2184,0.2184,0.2184,0.2184,available
flight,const4-trial4-traj1,tdoa,cnn1,mae_m,m,1,0,0.2097,0,0.2097,0.2097,0.2097,0.2097,0.2097,available
flight,const4-trial4-traj1,tdoa,cnn2,mae_m,m,1,0,0.2182,0,0.2182,0.2182,0.2182,0.2182,0.2182,available
flight,const4-trial4-traj1,position,raw,rmse_m,m,1,0,0.8805,0,0.8805,0.8805,0.8805,0.8805,0.8805,available
flight,const4-trial4-traj1,position,fnn,rmse_m,m,1,0,0.5426,0,0.5426,0.5426,0.5426,0.5426,0.5426,available
flight,const4-trial4-traj1,position,cnn1,rmse_m,m,1,0,0.541,0,0.541,0.541,0.541,0.541,0.541,available
flight,const4-trial4-traj1,position,cnn2,rmse_m,m,1,0,0.5529,0,0.5529,0.5529,0.5529,0.5529,0.5529,available
flight,const4-trial4-traj1,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj1,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj1,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj1,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj2,tdoa,raw,rmse_m,m,1,0,0.4885,0,0.4885,0.4885,0.4885,0.4885,0.4885,available
flight,const4-trial4-traj2,tdoa,fnn,rmse_m,m,1,0,0.3542,0,0.3542,0.3542,0.3542,0.3542,0.3542,available
flight,const4-trial4-traj2,tdoa,cnn1,rmse_m,m,1,0,0.3496,0,0.3496,0.3496,0.3496,0.3496,0.3496,available
flight,const4-trial4-traj2,tdoa,cnn2,rmse_m,m,1,0,0.3603,0,0.3603,0.3603,0.3603,0.3603,0.3603,available
flight,const4-trial4-traj2,tdoa,raw,mae_m,m,1,0,0.3003,0,0.3003,0.3003,0.3003,0.3003,0.3003,available
flight,const4-trial4-traj2,tdoa,fnn,mae_m,m,1,0,0.2156,0,0.2156,0.2156,0.2156,0.2156,0.2156,available
flight,const4-trial4-traj2,tdoa,cnn1,mae_m,m,1,0,0.2054,0,0.2054,0.2054,0.2054,0.2054,0.2054,available
flight,const4-trial4-traj2,tdoa,cnn2,mae_m,m,1,0,0.2164,0,0.2164,0.2164,0.2164,0.2164,0.2164,available
flight,const4-trial4-traj2,position,raw,rmse_m,m,1,0,0.6734,0,0.6734,0.6734,0.6734,0.6734,0.6734,available
flight,const4-trial4-traj2,position,fnn,rmse_m,m,1,0,0.46,0,0.46,0.46,0.46,0.46,0.46,available
flight,const4-trial4-traj2,position,cnn1,rmse_m,m,1,0,0.4494,0,0.4494,0.4494,0.4494,0.4494,0.4494,available
flight,const4-trial4-traj2,position,cnn2,rmse_m,m,1,0,0.4696,0,0.4696,0.4696,0.4696,0.4696,0.4696,available
flight,const4-trial4-traj2,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj2,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj2,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial4-traj2,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
